forecast(MEaI Transformer),Real value
332170.66,396797.5831683044
327825.12,395260.4325675316
323615.88,395643.44792598725
323522.9,390171.091227507
323911.5,389281.34709721897
324041.53,396717.93479903665
325459.5,401924.20410948776
326010.62,401532.70669313177
326046.2,395636.662313562
324351.5,393087.7506145995
325872.0,397094.16454506706
324413.72,404251.0934645301
324952.62,401553.0635304075
326339.25,401037.85270067485
324922.97,398661.80896509835
324237.38,391233.7031517059
324172.47,386637.56071058084
326303.7,374721.75853806455
325299.25,385010.58357611496
324924.88,392730.1814298449
